topic,length,AI_model,humanizer,AI_intro_top,Human_intro_top,AI_body_top,Human_body_top,AI_conclusion_top,Human_conclusion_top,intro_shifted,body_shifted,conclusion_shifted
1,2,gemini2.5pro,AIHumanizer,neutral,realization,disappointment,neutral,neutral,neutral,True,True,False
1,2,gemini2.5pro,Grammarly,neutral,neutral,disappointment,neutral,neutral,disapproval,False,True,True
1,2,gemini2.5pro,HumanizeAI,neutral,neutral,disappointment,neutral,neutral,neutral,False,True,False
1,2,gemini2.5pro,Quillbot,neutral,neutral,disappointment,neutral,neutral,neutral,False,True,False
1,2,gemini2.5pro,UndetectableAI,neutral,approval,disappointment,neutral,neutral,neutral,True,True,False
1,2,gemini2.5pro,writehuman.ai,neutral,disappointment,disappointment,disappointment,neutral,neutral,True,False,False
1,2,gpt4.0,AIHumanizer,disappointment,approval,neutral,sadness,approval,approval,True,True,False
1,2,gpt4.0,Grammarly,disappointment,neutral,neutral,disappointment,approval,approval,True,True,False
1,2,gpt4.0,HumanizeAI,disappointment,neutral,neutral,sadness,approval,approval,True,True,False
1,2,gpt4.0,Quillbot,disappointment,disappointment,neutral,disappointment,approval,approval,False,True,False
1,2,gpt4.0,UndetectableAI,disappointment,sadness,neutral,sadness,approval,neutral,True,True,True
1,2,gpt4.0,writehuman.ai,disappointment,sadness,neutral,sadness,approval,neutral,True,True,True
1,3,gemini2.5pro,AIHumanizer,disappointment,neutral,neutral,disappointment,approval,neutral,True,True,True
1,3,gemini2.5pro,Grammarly,disappointment,disappointment,neutral,neutral,approval,disappointment,False,False,True
1,3,gemini2.5pro,HumanizeAI,disappointment,disappointment,neutral,neutral,approval,neutral,False,False,True
1,3,gemini2.5pro,Quillbot,disappointment,sadness,neutral,neutral,approval,neutral,True,False,True
1,3,gemini2.5pro,UndetectableAI,disappointment,sadness,neutral,neutral,approval,disapproval,True,False,True
1,3,gemini2.5pro,writehuman.ai,disappointment,neutral,neutral,neutral,approval,neutral,True,False,True
1,3,gpt4.0,AIHumanizer,approval,approval,sadness,nervousness,approval,approval,False,True,False
1,3,gpt4.0,Grammarly,approval,approval,sadness,nervousness,approval,approval,False,True,False
1,3,gpt4.0,HumanizeAI,approval,neutral,sadness,sadness,approval,approval,True,False,False
1,3,gpt4.0,Quillbot,approval,approval,sadness,neutral,approval,neutral,False,True,True
1,3,gpt4.0,UndetectableAI,approval,neutral,sadness,disappointment,approval,caring,True,True,True
1,3,gpt4.0,writehuman.ai,approval,approval,sadness,neutral,approval,approval,False,True,False
2,2,gemini2.5pro,AIHumanizer,surprise,curiosity,neutral,neutral,admiration,admiration,True,False,False
2,2,gemini2.5pro,Grammarly,surprise,caring,neutral,caring,admiration,neutral,True,True,True
